v2	V(vout)
0.000000000000000e+000	5.000000e+000
1.000000000000000e-002	5.000000e+000
2.000000000000000e-002	5.000000e+000
3.000000000000000e-002	5.000000e+000
4.000000000000000e-002	5.000000e+000
5.000000000000000e-002	5.000000e+000
6.000000000000001e-002	5.000000e+000
7.000000000000001e-002	5.000000e+000
8.000000000000000e-002	5.000000e+000
9.000000000000000e-002	5.000000e+000
9.999999999999999e-002	5.000000e+000
1.100000000000000e-001	5.000000e+000
1.200000000000000e-001	5.000000e+000
1.300000000000000e-001	5.000000e+000
1.400000000000000e-001	5.000000e+000
1.500000000000000e-001	5.000000e+000
1.600000000000000e-001	5.000000e+000
1.700000000000000e-001	5.000000e+000
1.800000000000000e-001	5.000000e+000
1.900000000000000e-001	5.000000e+000
2.000000000000000e-001	5.000000e+000
2.100000000000001e-001	5.000000e+000
2.200000000000001e-001	5.000000e+000
2.300000000000001e-001	5.000000e+000
2.400000000000001e-001	5.000000e+000
2.500000000000001e-001	5.000000e+000
2.600000000000001e-001	5.000000e+000
2.700000000000001e-001	5.000000e+000
2.800000000000001e-001	5.000000e+000
2.900000000000001e-001	4.999999e+000
3.000000000000001e-001	4.999999e+000
3.100000000000001e-001	4.999998e+000
3.200000000000001e-001	4.999998e+000
3.300000000000001e-001	4.999996e+000
3.400000000000001e-001	4.999995e+000
3.500000000000001e-001	4.999992e+000
3.600000000000002e-001	4.999989e+000
3.700000000000002e-001	4.999983e+000
3.800000000000002e-001	4.999975e+000
3.900000000000002e-001	4.999963e+000
4.000000000000002e-001	4.999946e+000
4.100000000000002e-001	4.999920e+000
4.200000000000002e-001	4.999882e+000
4.300000000000002e-001	4.999826e+000
4.400000000000002e-001	4.999744e+000
4.500000000000002e-001	4.999624e+000
4.600000000000002e-001	4.999446e+000
4.700000000000003e-001	4.999186e+000
4.800000000000003e-001	4.998801e+000
4.900000000000003e-001	4.998235e+000
5.000000000000002e-001	4.997403e+000
5.100000000000002e-001	4.996177e+000
5.200000000000002e-001	4.994374e+000
5.300000000000003e-001	4.991719e+000
5.400000000000003e-001	4.987813e+000
5.500000000000003e-001	4.982064e+000
5.600000000000003e-001	4.973604e+000
5.700000000000003e-001	4.961158e+000
5.800000000000003e-001	4.942850e+000
5.900000000000003e-001	4.915924e+000
6.000000000000003e-001	4.876341e+000
6.100000000000003e-001	4.818186e+000
6.200000000000003e-001	4.732814e+000
6.300000000000003e-001	4.607644e+000
6.400000000000004e-001	4.424452e+000
6.500000000000004e-001	4.157046e+000
6.600000000000004e-001	3.768199e+000
6.700000000000004e-001	3.205857e+000
6.800000000000004e-001	2.398968e+000
6.900000000000004e-001	1.253923e+000
7.000000000000004e-001	8.461098e-002
7.100000000000004e-001	4.635564e-002
7.200000000000004e-001	3.441824e-002
7.300000000000004e-001	2.798995e-002
7.400000000000004e-001	2.393669e-002
7.500000000000004e-001	2.114464e-002
7.600000000000005e-001	1.910079e-002
7.700000000000005e-001	1.758668e-002
7.800000000000005e-001	1.641474e-002
7.900000000000005e-001	1.548689e-002
8.000000000000005e-001	1.474082e-002
8.100000000000005e-001	1.413291e-002
8.200000000000005e-001	1.363208e-002
8.300000000000005e-001	1.321575e-002
8.400000000000005e-001	1.286712e-002
8.500000000000005e-001	1.257347e-002
8.600000000000005e-001	1.232501e-002
8.700000000000006e-001	1.211409e-002
8.800000000000006e-001	1.193467e-002
8.900000000000006e-001	1.178188e-002
9.000000000000006e-001	1.165181e-002
9.100000000000006e-001	1.154125e-002
9.200000000000006e-001	1.144756e-002
9.300000000000006e-001	1.136853e-002
9.400000000000006e-001	1.130233e-002
9.500000000000006e-001	1.124740e-002
9.600000000000006e-001	1.120243e-002
9.700000000000006e-001	1.116630e-002
9.800000000000007e-001	1.113802e-002
9.900000000000007e-001	1.111679e-002
1.000000000000001e+000	1.110186e-002
1.010000000000001e+000	1.109261e-002
1.020000000000001e+000	1.108849e-002
1.030000000000001e+000	1.108902e-002
1.040000000000001e+000	1.109377e-002
1.050000000000001e+000	1.110236e-002
1.060000000000001e+000	1.111446e-002
1.070000000000001e+000	1.112977e-002
1.080000000000001e+000	1.114802e-002
1.090000000000001e+000	1.116898e-002
1.100000000000001e+000	1.119243e-002
1.110000000000001e+000	1.121817e-002
1.120000000000001e+000	1.124603e-002
1.130000000000001e+000	1.127586e-002
1.140000000000001e+000	1.130752e-002
1.150000000000001e+000	1.134086e-002
1.160000000000001e+000	1.137577e-002
1.170000000000001e+000	1.141215e-002
1.180000000000001e+000	1.144990e-002
1.190000000000001e+000	1.148892e-002
1.200000000000001e+000	1.152913e-002
1.210000000000001e+000	1.157045e-002
1.220000000000001e+000	1.161282e-002
1.230000000000001e+000	1.165617e-002
1.240000000000001e+000	1.170044e-002
1.250000000000001e+000	1.174558e-002
1.260000000000001e+000	1.179152e-002
1.270000000000001e+000	1.183823e-002
1.280000000000001e+000	1.188567e-002
1.290000000000001e+000	1.193378e-002
1.300000000000001e+000	1.198254e-002
1.310000000000001e+000	1.203190e-002
1.320000000000001e+000	1.208183e-002
1.330000000000001e+000	1.213231e-002
1.340000000000001e+000	1.218330e-002
1.350000000000001e+000	1.223477e-002
1.360000000000001e+000	1.228671e-002
1.370000000000001e+000	1.233908e-002
1.380000000000001e+000	1.239186e-002
1.390000000000001e+000	1.244504e-002
1.400000000000001e+000	1.249859e-002
1.410000000000001e+000	1.255250e-002
1.420000000000001e+000	1.260675e-002
1.430000000000001e+000	1.266131e-002
1.440000000000001e+000	1.271618e-002
1.450000000000001e+000	1.277134e-002
1.460000000000001e+000	1.282678e-002
1.470000000000001e+000	1.288248e-002
1.480000000000001e+000	1.293844e-002
1.490000000000001e+000	1.299463e-002
1.500000000000000e+000	1.305105e-002
